student_id,date_watched,minutes_watched,paid
263669,2022-02-14,30.63,0
263685,2022-02-14,5.35,0
262392,2022-02-15,32.77,1
263685,2022-02-15,15.03,0
261782,2022-02-15,7.92,1
263824,2022-02-16,0.43,0
264012,2022-02-17,31.83,0
264012,2022-02-18,22.78,0
258818,2022-02-18,6.72,1
261239,2022-02-18,17.67,1
264230,2022-02-19,4.87,0
259005,2022-02-19,0.13,0
259005,2022-02-21,0.53,0
262908,2022-02-22,46.27,1
261239,2022-02-22,4.4,1
258818,2022-02-23,17.98,1
262908,2022-02-23,15.03,1
264782,2022-02-23,33.32,0
263786,2022-02-24,128.87,1
264913,2022-02-24,5.75,0
262908,2022-02-24,24.37,1
262414,2022-02-24,31.22,1
264936,2022-02-26,0.17,0
261263,2022-02-26,7.4,1
265155,2022-02-26,0.52,0
265003,2022-02-27,6.92,0
265258,2022-02-27,0.67,0
265133,2022-02-27,0.57,0
260608,2022-02-28,49.65,1
265330,2022-02-28,40.65,0
261263,2022-02-28,13.73,1
260608,2022-03-01,13.33,1
265462,2022-03-01,23.38,1
260861,2022-03-01,7.03,0
261263,2022-03-01,27.83,1
264694,2022-03-02,53,1
263470,2022-03-02,18.63,0
265462,2022-03-02,7.28,1
260608,2022-03-03,15.97,1
265589,2022-03-03,6.17,0
258818,2022-03-03,7.1,1
265710,2022-03-03,1.53,0
265737,2022-03-03,22.67,0
261022,2022-03-03,16,1
261263,2022-03-04,70.57,1
258818,2022-03-04,12.32,1
264694,2022-03-04,22.03,1
260768,2022-03-05,0.27,0
261263,2022-03-06,33.65,1
263480,2022-03-07,150.37,1
266154,2022-03-07,4.9,0
261022,2022-03-07,14.9,1
258818,2022-03-07,5.78,1
264361,2022-03-07,101.95,1
266267,2022-03-07,0.12,0
266154,2022-03-08,20.13,0
266333,2022-03-08,1.28,0
258818,2022-03-08,23.97,1
264361,2022-03-08,47.85,1
266316,2022-03-08,8.4,0
261756,2022-03-08,37.05,1
265628,2022-03-08,1.03,1
266470,2022-03-09,0.28,0
266493,2022-03-09,0.12,0
261756,2022-03-09,85.28,1
258818,2022-03-09,30.52,1
266601,2022-03-09,5.87,0
266447,2022-03-10,3.87,0
261756,2022-03-10,0.05,1
258818,2022-03-11,18.48,1
266333,2022-03-11,6.65,0
266857,2022-03-11,1.45,0
262585,2022-03-11,26.27,1
266888,2022-03-11,0.92,0
258818,2022-03-12,19.35,1
266931,2022-03-12,0.18,0
266588,2022-03-12,7.75,0
262585,2022-03-12,16.18,1
261227,2022-03-13,1.97,1
266640,2022-03-13,0.07,0
259402,2022-03-13,0.18,0
267136,2022-03-13,25.47,0
267140,2022-03-13,0.57,0
267136,2022-03-14,7.78,0
266588,2022-03-14,41.6,0
262585,2022-03-14,41.22,1
267294,2022-03-14,0.67,0
267313,2022-03-14,0.57,0
266588,2022-03-15,22.7,0
261778,2022-03-15,37.97,1
262585,2022-03-15,23.65,1
265373,2022-03-15,35.5,0
263648,2022-03-15,7.63,1
259402,2022-03-15,0.5,0
263639,2022-03-15,7.03,1
261778,2022-03-16,66.08,1
267447,2022-03-16,37.07,0
267141,2022-03-16,0.57,0
263639,2022-03-16,152.77,1
263648,2022-03-16,33.9,1
267616,2022-03-16,0.2,0
261785,2022-03-16,23.55,1
263648,2022-03-17,10.5,1
259524,2022-03-17,127.07,1
263639,2022-03-17,26.57,1
261785,2022-03-17,35.4,1
265373,2022-03-18,3.7,0
261785,2022-03-18,7.2,1
260747,2022-03-18,0.07,0
263672,2022-03-19,29.03,1
261785,2022-03-19,37.32,1
267496,2022-03-19,96.08,1
267327,2022-03-19,0.1,0
261785,2022-03-20,14.67,1
267812,2022-03-20,44.53,1
261281,2022-03-20,0.57,0
263479,2022-03-20,4.97,1
265204,2022-03-21,0.1,0
263479,2022-03-21,0.83,1
267412,2022-03-21,5.73,0
263231,2022-03-21,57.93,1
263231,2022-03-22,0.08,1
267812,2022-03-22,111.65,1
261785,2022-03-22,22.42,1
261766,2022-03-22,97.07,1
268324,2022-03-22,2.87,0
268257,2022-03-22,37.08,1
268240,2022-03-22,2.45,0
261766,2022-03-23,34.58,1
261785,2022-03-23,110.47,1
268257,2022-03-23,9.5,1
261785,2022-03-24,1.63,1
268454,2022-03-24,0.05,0
260033,2022-03-25,21.18,1
261766,2022-03-25,0.85,1
268257,2022-03-25,3.85,1
268262,2022-03-26,27.48,0
268262,2022-03-27,4.48,0
268672,2022-03-27,0.12,0
263693,2022-03-27,5.63,1
263693,2022-03-28,61.2,1
261716,2022-03-28,0.23,0
265373,2022-03-28,19.77,0
268257,2022-03-28,36.73,1
264404,2022-03-29,0.57,1
268832,2022-03-29,0.18,0
268870,2022-03-29,9,0
266529,2022-03-29,22.23,1
266529,2022-03-30,38.85,1
268516,2022-03-30,4.48,1
267487,2022-03-31,39.68,1
269137,2022-03-31,10.15,0
267487,2022-04-01,8.68,1
258800,2022-04-01,10.47,1
269283,2022-04-01,2.53,0
262988,2022-04-02,10.63,1
267487,2022-04-02,33.08,1
269483,2022-04-03,0.38,0
262988,2022-04-03,21.22,1
269505,2022-04-03,0.05,0
268516,2022-04-04,55.48,1
262988,2022-04-05,76.63,1
268516,2022-04-05,12.35,1
268817,2022-04-07,72.7,1
270016,2022-04-08,0.4,0
269646,2022-04-08,26.53,1
270018,2022-04-08,0.47,0
269757,2022-04-08,40.48,0
267286,2022-04-08,19,1
269099,2022-04-08,4.92,0
268390,2022-04-08,0.62,1
270150,2022-04-08,0.62,0
269646,2022-04-09,39.57,1
269757,2022-04-09,9.52,0
268390,2022-04-09,110.7,1
270284,2022-04-10,0.1,0
269646,2022-04-10,4.28,1
270382,2022-04-10,2.42,0
269646,2022-04-11,13.15,1
266112,2022-04-11,6.58,1
270018,2022-04-11,0.92,0
270563,2022-04-12,8.4,0
268805,2022-04-12,20.33,1
265003,2022-04-12,59.6,1
269646,2022-04-13,52.95,1
264974,2022-04-13,1.13,0
265003,2022-04-13,85,1
270676,2022-04-13,0.08,0
268805,2022-04-13,14.3,1
261782,2022-04-13,19.98,1
270521,2022-04-13,46.77,0
269646,2022-04-14,2.58,1
270018,2022-04-14,26.48,1
269314,2022-04-15,93.23,1
270944,2022-04-16,0.33,0
270991,2022-04-16,0.27,0
270018,2022-04-16,27.42,1
271005,2022-04-16,42.98,0
270018,2022-04-17,7.3,1
270018,2022-04-18,9.85,1
260608,2022-04-18,4.6,1
260042,2022-04-18,19.05,1
270648,2022-04-19,45.73,1
260042,2022-04-19,42.58,1
260608,2022-04-19,34.27,1
271300,2022-04-19,34.7,0
264146,2022-04-19,55.47,1
260608,2022-04-20,31.9,1
270018,2022-04-20,12.05,1
269314,2022-04-20,1.47,1
264146,2022-04-20,49.42,1
271203,2022-04-21,28.1,0
265927,2022-04-21,27.07,1
259504,2022-04-21,0.23,1
271456,2022-04-21,0.55,0
268152,2022-04-22,45.67,1
271203,2022-04-22,3.37,0
263368,2022-04-22,48.38,1
271598,2022-04-22,24.85,0
266112,2022-04-22,53.03,1
259504,2022-04-23,26.32,1
260042,2022-04-23,59.78,1
271670,2022-04-23,1.8,1
263368,2022-04-23,62.35,1
263368,2022-04-24,13.65,1
271780,2022-04-24,1.53,0
268152,2022-04-25,0.95,1
271598,2022-04-25,0.93,0
263368,2022-04-26,27.67,1
270014,2022-04-27,76.9,1
266112,2022-04-27,14.7,1
266112,2022-04-28,18.98,1
262044,2022-04-28,0.58,1
259767,2022-04-29,2.28,1
268152,2022-04-30,2.05,1
272232,2022-04-30,18.7,0
268152,2022-05-01,33.07,1
272586,2022-05-02,21.3,0
261801,2022-05-02,54.97,1
263683,2022-05-02,0.53,1
270486,2022-05-02,36.4,1
270486,2022-05-03,42.97,1
261801,2022-05-03,89.07,1
269832,2022-05-03,0.05,0
272586,2022-05-03,9.68,0
270014,2022-05-03,3.27,1
272742,2022-05-03,25.93,0
270486,2022-05-04,15.7,1
261801,2022-05-04,28.15,1
261593,2022-05-04,18.83,1
263683,2022-05-04,26.98,1
270710,2022-05-04,15.1,1
272732,2022-05-04,31.2,0
270486,2022-05-05,13.87,1
261801,2022-05-05,42.02,1
266112,2022-05-05,45.8,0
268152,2022-05-05,9.25,1
261593,2022-05-05,22.5,1
269314,2022-05-05,79.7,1
269314,2022-05-06,90.4,1
272981,2022-05-06,0.48,0
261801,2022-05-06,8.43,1
261801,2022-05-07,114.87,1
262821,2022-05-07,41.52,1
268805,2022-05-07,39.6,1
262641,2022-05-08,28.47,1
273140,2022-05-08,7.27,0
273211,2022-05-08,11.55,0
263706,2022-05-08,48.35,1
273232,2022-05-08,0.25,0
273140,2022-05-09,49.97,0
268152,2022-05-09,30.32,1
263706,2022-05-09,1.85,1
266447,2022-05-09,28.52,0
261593,2022-05-09,4.75,1
273351,2022-05-10,18.38,0
264476,2022-05-10,4.07,1
261593,2022-05-10,21.67,1
273509,2022-05-11,0.65,0
264476,2022-05-11,0.2,1
261593,2022-05-11,15.23,1
263706,2022-05-11,1.93,1
270014,2022-05-11,38.02,1
263683,2022-05-11,12.32,1
268825,2022-05-12,10.53,1
271348,2022-05-12,55.6,1
271348,2022-05-13,11.57,1
273794,2022-05-13,0.07,0
273979,2022-05-15,4.73,0
273953,2022-05-15,0.8,1
262641,2022-05-16,28.98,1
272909,2022-05-16,7.03,1
262641,2022-05-17,21.43,1
271348,2022-05-17,35.3,1
261593,2022-05-17,21,1
272909,2022-05-18,24.62,1
271348,2022-05-18,6.47,1
267936,2022-05-18,70.7,1
269204,2022-05-18,24.03,1
274365,2022-05-18,5.88,0
273955,2022-05-18,1.62,0
267936,2022-05-19,44.23,1
269204,2022-05-19,29.37,1
265928,2022-05-19,50.58,1
272472,2022-05-19,57.52,1
258913,2022-05-19,4.95,1
274272,2022-05-19,27.03,0
273825,2022-05-19,2.68,0
272909,2022-05-19,19.7,1
274272,2022-05-20,15.42,0
272909,2022-05-20,6.65,1
259767,2022-05-20,75.5,1
267936,2022-05-20,46.33,1
272472,2022-05-20,43.32,1
270931,2022-05-20,1.82,1
259767,2022-05-21,68.12,1
274611,2022-05-21,2.2,0
274070,2022-05-21,0.25,1
272909,2022-05-22,62.9,1
274742,2022-05-22,32.37,0
274564,2022-05-22,13.7,0
274377,2022-05-22,0.2,1
274777,2022-05-23,0.5,0
268152,2022-05-23,30.35,1
274799,2022-05-23,4.58,0
270117,2022-05-23,63.27,0
269204,2022-05-23,26.47,1
274742,2022-05-23,18.68,0
274834,2022-05-23,0.22,0
271701,2022-05-23,0.17,0
274130,2022-05-23,19.38,0
274739,2022-05-24,0.95,0
269204,2022-05-24,19.8,1
274938,2022-05-24,20.55,0
272909,2022-05-25,0.78,1
269204,2022-05-25,16.08,1
275021,2022-05-25,75.8,1
274130,2022-05-25,0.98,1
275021,2022-05-26,33.77,1
270197,2022-05-26,0.78,1
269769,2022-05-26,0.48,0
272842,2022-05-27,132.73,1
266447,2022-05-27,5.88,0
265928,2022-05-28,41.55,1
263087,2022-05-28,0.57,1
274096,2022-05-29,1.23,0
275141,2022-05-29,0.05,1
259860,2022-05-30,56.08,1
262641,2022-05-30,5.02,1
270689,2022-05-31,0.38,0
274272,2022-06-01,25.37,0
274904,2022-06-01,4.13,1
258818,2022-06-01,0.23,1
275738,2022-06-01,39.3,0
264141,2022-06-01,1.93,1
265588,2022-06-02,0.55,1
274611,2022-06-02,0.05,1
275147,2022-06-02,3.78,0
269314,2022-06-02,0.18,1
276135,2022-06-02,0.55,0
276158,2022-06-02,7.17,0
262641,2022-06-02,30.77,1
274272,2022-06-03,12.03,0
265588,2022-06-03,32.1,1
276306,2022-06-03,2.68,0
258818,2022-06-03,11.95,1
276346,2022-06-03,24.53,0
276231,2022-06-04,16.22,0
258818,2022-06-04,0.37,1
265588,2022-06-04,50.47,1
275038,2022-06-05,92.12,1
268011,2022-06-05,61.9,1
259860,2022-06-06,94.33,1
274272,2022-06-07,17.17,0
274377,2022-06-07,0.35,1
268410,2022-06-07,10.27,1
276929,2022-06-08,6.3,0
276909,2022-06-08,9.88,0
268410,2022-06-08,14.45,1
276135,2022-06-08,6.55,1
259870,2022-06-08,38.07,1
266795,2022-06-08,3.12,0
276135,2022-06-09,20.6,1
276355,2022-06-09,1.27,0
268011,2022-06-09,32.78,1
265966,2022-06-09,6.72,1
277225,2022-06-09,0.05,0
265966,2022-06-10,3.82,1
275282,2022-06-10,71.45,1
260173,2022-06-10,6.53,1
276909,2022-06-10,0.27,0
276676,2022-06-10,5.63,0
268011,2022-06-11,48,1
276135,2022-06-11,57.73,1
277433,2022-06-11,0.35,0
277411,2022-06-11,40.55,0
268926,2022-06-12,9.57,1
271856,2022-06-12,0.55,1
268011,2022-06-12,13.42,1
276135,2022-06-12,58.53,1
265966,2022-06-12,35.95,1
268410,2022-06-12,1.52,1
268926,2022-06-13,67.15,1
274564,2022-06-13,73.43,1
272717,2022-06-13,9.8,1
260173,2022-06-13,18.8,1
272865,2022-06-13,28.87,1
271670,2022-06-13,0.37,1
268926,2022-06-14,32.73,1
271670,2022-06-14,0.3,1
277698,2022-06-14,26.82,0
265966,2022-06-14,56.32,1
274564,2022-06-14,109.92,1
260173,2022-06-14,30.27,1
272255,2022-06-14,11.17,1
274938,2022-06-14,27.7,0
273936,2022-06-14,4.7,1
276676,2022-06-15,0.05,0
272255,2022-06-15,30.17,1
277281,2022-06-15,0.62,0
277827,2022-06-15,30.68,0
274039,2022-06-15,35.03,1
260373,2022-06-15,0.35,0
274039,2022-06-16,61.83,1
272865,2022-06-16,2.43,1
260173,2022-06-17,32.63,1
269874,2022-06-17,0.95,0
272865,2022-06-17,13.9,1
261756,2022-06-17,1.48,1
276829,2022-06-17,26.25,1
262414,2022-06-18,0.38,1
269874,2022-06-18,0.05,1
278661,2022-06-20,0.8,0
278670,2022-06-20,0.23,0
269874,2022-06-20,0.92,1
269874,2022-06-21,44.77,1
278743,2022-06-21,28.37,0
277864,2022-06-21,0.67,1
272586,2022-06-21,0.5,1
261593,2022-06-21,19.52,1
262784,2022-06-21,0.45,1
272865,2022-06-21,29.5,1
278836,2022-06-21,0.07,0
268357,2022-06-22,16.3,1
269874,2022-06-22,61.92,1
273936,2022-06-22,0.1,1
274448,2022-06-22,43.38,0
278898,2022-06-22,7.15,0
272865,2022-06-22,4.88,1
278969,2022-06-23,0.35,0
261716,2022-06-23,25.88,0
269874,2022-06-23,2.77,1
260173,2022-06-23,5.75,1
277066,2022-06-23,12.92,1
279036,2022-06-23,2.03,0
272865,2022-06-24,29.73,1
263087,2022-06-24,23.75,1
275038,2022-06-24,0.18,1
273936,2022-06-24,2.7,1
275038,2022-06-25,31.02,1
277557,2022-06-25,41.2,1
272586,2022-06-25,19.1,1
269874,2022-06-25,1.25,1
263087,2022-06-25,31.45,1
262643,2022-06-25,4.13,0
263087,2022-06-26,10.78,1
269874,2022-06-26,8.28,1
269518,2022-06-26,55.53,1
278662,2022-06-26,34.98,0
261239,2022-06-26,10.53,1
279362,2022-06-26,0.43,0
269874,2022-06-27,56.08,1
279392,2022-06-27,0.72,0
260173,2022-06-27,34.45,1
269518,2022-06-27,5.67,1
272586,2022-06-27,5,1
262414,2022-06-27,12.43,1
271856,2022-06-27,81.58,1
262643,2022-06-27,24.6,0
272865,2022-06-28,65.85,1
272058,2022-06-28,110.67,1
278940,2022-06-28,17.03,1
279519,2022-06-28,3.72,1
261239,2022-06-28,32.45,1
260173,2022-06-28,63.75,1
269874,2022-06-28,4.18,1
272586,2022-06-28,7.55,1
275050,2022-06-28,15.18,1
274814,2022-06-29,32.17,1
262414,2022-06-29,13.75,1
270075,2022-06-30,26.67,1
272586,2022-06-30,12.45,1
263087,2022-06-30,9.45,1
260173,2022-06-30,51.62,1
272058,2022-06-30,13.98,1
279926,2022-07-01,42.1,0
272058,2022-07-01,41.58,1
277066,2022-07-01,0.72,1
270075,2022-07-01,34.78,1
279937,2022-07-01,0.55,0
270075,2022-07-02,45.8,1
272058,2022-07-02,122.15,1
280114,2022-07-02,132.63,1
269518,2022-07-03,4.57,1
272586,2022-07-03,17.6,1
272058,2022-07-03,4.12,1
270075,2022-07-03,38.12,1
280197,2022-07-03,1.72,0
280198,2022-07-03,0.83,0
263087,2022-07-04,3.93,1
280358,2022-07-05,15.37,0
258913,2022-07-05,3.4,1
258913,2022-07-06,52.42,1
263087,2022-07-06,27.1,1
258913,2022-07-07,12.62,1
274814,2022-07-07,10.68,1
278641,2022-07-07,4.43,0
275050,2022-07-07,34.75,1
274814,2022-07-08,91.3,1
272586,2022-07-09,34.62,1
280867,2022-07-09,0.3,0
280851,2022-07-09,38.63,0
279862,2022-07-09,23.68,0
274906,2022-07-09,0.62,1
274814,2022-07-09,19.3,1
263913,2022-07-09,6.72,1
280939,2022-07-09,2.08,0
280963,2022-07-10,8.9,0
280993,2022-07-10,0.48,0
272991,2022-07-10,38.42,1
280114,2022-07-10,0.82,1
275050,2022-07-10,20.52,1
262459,2022-07-11,54.53,1
272991,2022-07-11,29.92,1
281114,2022-07-11,13.18,0
280134,2022-07-12,69.37,1
269421,2022-07-12,5.6,0
262459,2022-07-12,55.07,1
275470,2022-07-12,4.37,1
262459,2022-07-13,19.87,1
275470,2022-07-13,36.12,1
281297,2022-07-13,0.53,1
263683,2022-07-13,50.12,1
272717,2022-07-13,0.18,1
281438,2022-07-13,1.43,0
275470,2022-07-14,44.6,1
274906,2022-07-14,55.42,1
272717,2022-07-14,71.97,1
275470,2022-07-15,5.62,1
263683,2022-07-15,41.48,1
274906,2022-07-15,78.87,1
275050,2022-07-15,25.05,1
270738,2022-07-16,6.33,1
281713,2022-07-16,0.65,0
269314,2022-07-16,0.53,1
281813,2022-07-17,0.53,0
281759,2022-07-17,16.58,0
272991,2022-07-17,1.75,1
281860,2022-07-17,8.2,0
281819,2022-07-17,0.2,0
275050,2022-07-17,11.75,1
281913,2022-07-18,36.6,0
281947,2022-07-18,47.8,0
261782,2022-07-18,38.43,1
282042,2022-07-19,1.52,0
275495,2022-07-19,9.32,1
261766,2022-07-20,33.75,1
281913,2022-07-20,6.65,0
266814,2022-07-20,1.92,1
265373,2022-07-20,39.32,0
281961,2022-07-20,47.7,1
262761,2022-07-21,8.62,1
261766,2022-07-21,0.35,1
276994,2022-07-21,29.18,0
261766,2022-07-22,5.72,1
261766,2022-07-23,11.13,1
278753,2022-07-23,40.28,1
266814,2022-07-24,33.45,1
274908,2022-07-24,10.48,1
281913,2022-07-25,2.52,0
282533,2022-07-25,9.02,0
278753,2022-07-25,64.42,1
280218,2022-07-25,29.65,1
280427,2022-07-25,0.18,1
275050,2022-07-25,14.42,1
280218,2022-07-26,49.32,1
280249,2022-07-26,26.12,1
261766,2022-07-26,25.97,1
279422,2022-07-26,10.8,0
263656,2022-07-27,23.72,0
280249,2022-07-28,41.03,1
274050,2022-07-28,23.42,1
275050,2022-07-28,7.9,1
280249,2022-07-29,63.63,1
274996,2022-07-29,93.43,1
282961,2022-07-29,0.9,0
261019,2022-07-29,8.07,1
274000,2022-07-30,0.87,1
261019,2022-07-30,126.97,1
283149,2022-07-30,11.48,0
283149,2022-07-31,14.37,0
266814,2022-07-31,7.4,1
274000,2022-07-31,5.93,1
262784,2022-07-31,22.27,1
277012,2022-07-31,82.5,1
270738,2022-07-31,35.68,1
261766,2022-07-31,64.98,1
280249,2022-07-31,38.57,1
261019,2022-07-31,0.08,1
283243,2022-07-31,0.07,0
266512,2022-07-31,4.87,1
282838,2022-07-31,4.97,1
274996,2022-08-01,59.67,1
261766,2022-08-01,9.78,1
282794,2022-08-01,6.42,0
261019,2022-08-01,0.1,1
276135,2022-08-01,0.6,1
282028,2022-08-02,0.05,0
282838,2022-08-02,61.17,1
283520,2022-08-02,5.77,0
283550,2022-08-02,4.6,0
279409,2022-08-02,0.65,1
280548,2022-08-02,7.63,1
273671,2022-08-02,6.2,1
282838,2022-08-03,10.08,1
282838,2022-08-04,34.6,1
283813,2022-08-04,2.07,0
283851,2022-08-04,23.6,0
283086,2022-08-04,0.5,0
279409,2022-08-04,23.8,1
274050,2022-08-04,21.15,1
283915,2022-08-04,0.6,0
283149,2022-08-04,0.05,0
283612,2022-08-04,18.75,0
282838,2022-08-05,4.35,1
283940,2022-08-05,5.73,0
283005,2022-08-05,60.47,1
283239,2022-08-05,1.1,1
274552,2022-08-05,0.27,1
265056,2022-08-06,0.1,0
274000,2022-08-06,19.32,1
283239,2022-08-06,4.55,1
282838,2022-08-06,14.4,1
276158,2022-08-07,0.78,0
279409,2022-08-07,23.95,1
282838,2022-08-07,86.95,1
283452,2022-08-07,1.53,1
280114,2022-08-07,0.9,1
274861,2022-08-07,20.72,1
284305,2022-08-07,0.12,0
272977,2022-08-08,12.3,1
279409,2022-08-08,20.82,1
268011,2022-08-08,32.67,1
281107,2022-08-08,26.42,0
274861,2022-08-08,7.93,1
272977,2022-08-09,109.1,1
274861,2022-08-09,43.1,1
284522,2022-08-09,0.55,0
279409,2022-08-09,9.28,1
274552,2022-08-09,18.75,1
284605,2022-08-09,0.07,0
275126,2022-08-10,10.27,1
274861,2022-08-10,65.8,1
282371,2022-08-10,6.38,1
282977,2022-08-11,28.17,1
274050,2022-08-11,107.17,1
284951,2022-08-11,1.33,0
274861,2022-08-11,8.9,1
283612,2022-08-11,7.25,0
264097,2022-08-12,0.3,0
282977,2022-08-12,20.93,1
280963,2022-08-12,9.8,0
285167,2022-08-12,2.2,0
285213,2022-08-13,0.05,0
282977,2022-08-13,52.77,1
285272,2022-08-13,0.52,0
274209,2022-08-13,29.3,1
285303,2022-08-13,3.35,0
285233,2022-08-13,23.75,0
283612,2022-08-13,1.3,0
285325,2022-08-13,0.25,0
259174,2022-08-14,54.1,1
284400,2022-08-14,1.12,0
277562,2022-08-14,14.02,1
274861,2022-08-15,3.28,1
284400,2022-08-15,0.17,0
285512,2022-08-15,5.42,0
285537,2022-08-15,157.07,0
285427,2022-08-15,0.67,0
280685,2022-08-15,94.17,0
285623,2022-08-15,10.4,0
285743,2022-08-15,0.45,0
274098,2022-08-15,0.08,0
285325,2022-08-15,6.65,0
278463,2022-08-15,6.47,0
275834,2022-08-15,38.68,0
285929,2022-08-15,0.07,0
263441,2022-08-15,79.3,0
285667,2022-08-15,0.8,0
266454,2022-08-15,6,0
273096,2022-08-15,1.68,0
259174,2022-08-15,26.07,1
286069,2022-08-15,0.93,0
286113,2022-08-15,1.17,0
284990,2022-08-15,0.13,0
283166,2022-08-15,0.75,0
285392,2022-08-15,14.28,0
285392,2022-08-16,16.77,0
259174,2022-08-16,43.48,1
268485,2022-08-16,31.52,0
283166,2022-08-16,4.22,0
281084,2022-08-16,66.52,0
286113,2022-08-16,94.97,0
286272,2022-08-16,0.72,0
277886,2022-08-16,0.07,0
286194,2022-08-16,0.08,0
286466,2022-08-16,38.62,0
285288,2022-08-16,0.3,0
286007,2022-08-16,10.85,0
286590,2022-08-16,0.55,0
286399,2022-08-16,0.05,0
266532,2022-08-16,2.27,0
286712,2022-08-17,0.72,0
283855,2022-08-17,30.05,0
283550,2022-08-17,0.13,1
273096,2022-08-17,17.32,0
286545,2022-08-17,0.13,0
286396,2022-08-17,4.67,0
286849,2022-08-17,80.13,0
286608,2022-08-17,87.33,0
286405,2022-08-17,26.15,0
286883,2022-08-17,69.65,0
286876,2022-08-17,31.72,0
277306,2022-08-17,0.5,0
286699,2022-08-17,1.5,0
286007,2022-08-17,3.17,0
286922,2022-08-17,0.05,0
284001,2022-08-17,32.02,0
286458,2022-08-17,0.55,0
284880,2022-08-17,0.27,0
284790,2022-08-17,35.02,0
271648,2022-08-17,4.22,0
286973,2022-08-17,0.18,0
286755,2022-08-18,0.05,0
286973,2022-08-18,156.48,0
286883,2022-08-18,17.1,0
286271,2022-08-18,37.17,0
287009,2022-08-18,13.38,0
285989,2022-08-18,72.38,0
284790,2022-08-18,73.77,0
274050,2022-08-18,0.13,1
287061,2022-08-18,1.68,0
282803,2022-08-18,41.95,1
265415,2022-08-18,31.63,1
286928,2022-08-18,9.52,0
285670,2022-08-18,0.28,0
259174,2022-08-19,18.75,1
262784,2022-08-19,50.45,1
284371,2022-08-19,14.23,0
286884,2022-08-19,0.87,1
281609,2022-08-19,20.65,1
284288,2022-08-19,6.43,1
287315,2022-08-20,11.88,0
284371,2022-08-20,34.28,0
269314,2022-08-20,0.5,1
287441,2022-08-21,3.18,0
287458,2022-08-21,0.63,0
284288,2022-08-21,29.5,1
287463,2022-08-21,26.37,0
287113,2022-08-21,18.7,0
284438,2022-08-21,11.43,1
267064,2022-08-21,56.78,1
287506,2022-08-21,2.98,0
286928,2022-08-21,15.35,0
267064,2022-08-22,52.55,1
284438,2022-08-22,72.65,1
273671,2022-08-22,101.9,1
287637,2022-08-22,5.9,0
279722,2022-08-23,10.45,1
284438,2022-08-23,44.05,1
261714,2022-08-23,55.48,1
275045,2022-08-24,101.38,1
287805,2022-08-24,14.27,0
284438,2022-08-24,56.25,1
285397,2022-08-24,100.38,1
286824,2022-08-24,29.73,1
287929,2022-08-24,6.13,0
275126,2022-08-24,2.83,1
261714,2022-08-25,59.65,1
260971,2022-08-25,4.62,1
270738,2022-08-25,26.28,1
286928,2022-08-25,1.48,0
272991,2022-08-25,26.17,1
268883,2022-08-25,13.72,1
284400,2022-08-26,0.9,0
288148,2022-08-26,1.52,0
275126,2022-08-26,29.87,1
284743,2022-08-26,0.23,0
275158,2022-08-27,0.63,1
282594,2022-08-27,1.22,1
288294,2022-08-27,0.95,0
275126,2022-08-27,68.22,1
288378,2022-08-28,0.48,0
288425,2022-08-28,0.22,0
284438,2022-08-28,13.33,1
